%
%
% Run:V1    Table:COMPGRID          SWAN version:41.31AB
%
%       Xp            Yp            Hsig        X-Windv       Y-Windv    
%       [m]           [m]           [m]           [m/s]         [m/s]    
%
           6.          500.       0.09875        0.0000        0.0000 
           7.          500.       0.09037        0.0000        0.0000 
           8.          500.       0.08322        0.0000        0.0000 
           9.          500.       0.07707        0.0000        0.0000 
          10.          500.       0.07172        0.0000        0.0000 
          11.          500.       0.06704        0.0000        0.0000 
          12.          500.       0.06290        0.0000        0.0000 
          13.          500.       0.05922        0.0000        0.0000 
          14.          500.       0.05593        0.0000        0.0000 
          15.          500.       0.05297        0.0000        0.0000 
          16.          500.       0.05030        0.0000        0.0000 
          17.          500.       0.04788        0.0000        0.0000 
          18.          500.       0.04566        0.0000        0.0000 
          19.          500.       0.04364        0.0000        0.0000 
          20.          500.       0.04178        0.0000        0.0000 
          21.          500.       0.04007        0.0000        0.0000 
          22.          500.       0.03849        0.0000        0.0000 
          23.          500.       0.03702        0.0000        0.0000 
          24.          500.       0.03566        0.0000        0.0000 
          25.          500.       0.03439        0.0000        0.0000 
          26.          500.       0.03320        0.0000        0.0000 
          27.          500.       0.03210        0.0000        0.0000 
          28.          500.       0.03106        0.0000        0.0000 
          29.          500.       0.03008        0.0000        0.0000 
          30.          500.       0.02916        0.0000        0.0000 
          31.          500.       0.02830        0.0000        0.0000 
          32.          500.       0.02748        0.0000        0.0000 
          33.          500.       0.02670        0.0000        0.0000 
          34.          500.       0.02597        0.0000        0.0000 
          35.          500.       0.02528        0.0000        0.0000 
